"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 16:09:17 ALMT 2023","Tue Apr 18 16:09:28 ALMT 2023","10793","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature2Test","com.ts.integration.tests.proc_sla_feature.SlaFeature2Test","msgSLaFeatureRemoveRequest","Снять запрос",""
"passed","Tue Apr 18 16:11:13 ALMT 2023","Tue Apr 18 16:11:16 ALMT 2023","3212","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugMsgUndoRequestInfo","отменить запрос информации",""
"passed","Tue Apr 18 16:09:49 ALMT 2023","Tue Apr 18 16:09:52 ALMT 2023","3639","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug1Test","com.ts.integration.tests.proc_sla_bug.SlaBug1Test","slaBugMsgCloseUnfixable","закрыть как неустраненную",""
"passed","Tue Apr 18 16:12:09 ALMT 2023","Tue Apr 18 16:12:26 ALMT 2023","17134","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","msgSlaFeatureAcceptConditions","Принять окончательные условия реализации",""
"passed","Tue Apr 18 15:55:00 ALMT 2023","Tue Apr 18 15:55:24 ALMT 2023","23816","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug8Test","com.ts.integration.tests.proc_sla_bug.SlaBug8Test","slaBugMsgAnalize","принятие на анализ",""
"passed","Tue Apr 18 16:16:49 ALMT 2023","Tue Apr 18 16:16:51 ALMT 2023","1933","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureStart","Передать в разработку",""
"passed","Tue Apr 18 16:13:34 ALMT 2023","Tue Apr 18 16:13:51 ALMT 2023","16405","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugMsgHotFix","предоставить решение",""
"passed","Tue Apr 18 16:10:20 ALMT 2023","Tue Apr 18 16:10:26 ALMT 2023","5993","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","slaBugMsgCloseUnfixable","закрыть как неустраненную",""
"passed","Tue Apr 18 16:17:42 ALMT 2023","Tue Apr 18 16:18:02 ALMT 2023","20755","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureUndoRequestInfo","Отменить запрос информации",""
"passed","Tue Apr 18 15:43:57 ALMT 2023","Tue Apr 18 15:43:59 ALMT 2023","1854","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","slaBugCat","создание задачи",""
"passed","Tue Apr 18 15:43:54 ALMT 2023","Tue Apr 18 15:43:55 ALMT 2023","1547","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugCat","создание задачи",""
"passed","Tue Apr 18 15:48:48 ALMT 2023","Tue Apr 18 15:49:57 ALMT 2023","69283","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug1Test","com.ts.integration.tests.proc_sla_bug.SlaBug1Test","slaBugMsgAnalize","принять на анализ",""
"passed","Tue Apr 18 16:11:16 ALMT 2023","Tue Apr 18 16:11:21 ALMT 2023","5049","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug3Test","com.ts.integration.tests.proc_sla_bug.SlaBug3Test","slaBugMsgClose","закрыть",""
"passed","Tue Apr 18 16:15:12 ALMT 2023","Tue Apr 18 16:15:27 ALMT 2023","15145","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureRequestReqInfoRetry","Запросить уточнение требований",""
"passed","Tue Apr 18 16:10:34 ALMT 2023","Tue Apr 18 16:10:45 ALMT 2023","10916","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","slaBugMsgClose","закрыть",""
"passed","Tue Apr 18 16:11:52 ALMT 2023","Tue Apr 18 16:12:09 ALMT 2023","16667","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureSendCostPre","Сообщить предварительные условия реализации",""
"passed","Tue Apr 18 15:47:02 ALMT 2023","Tue Apr 18 15:48:00 ALMT 2023","58895","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature2Test","com.ts.integration.tests.proc_sla_feature.SlaFeature2Test","msgSlaFeatureCat","Создание задачи",""
"passed","Tue Apr 18 16:03:08 ALMT 2023","Tue Apr 18 16:03:23 ALMT 2023","14766","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","slaBugMsgStart","начать работу",""
"passed","Tue Apr 18 15:53:30 ALMT 2023","Tue Apr 18 15:54:00 ALMT 2023","29152","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugMsgAnalize","принятие на анализ",""
"passed","Tue Apr 18 15:57:24 ALMT 2023","Tue Apr 18 15:58:42 ALMT 2023","77905","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature2Test","com.ts.integration.tests.proc_sla_feature.SlaFeature2Test","msgSlaFeatureTopreCost","Начать предварительную оценку",""
"passed","Tue Apr 18 16:07:38 ALMT 2023","Tue Apr 18 16:07:45 ALMT 2023","6980","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug3Test","com.ts.integration.tests.proc_sla_bug.SlaBug3Test","slaBugMsgRequestInfo","запросить информацию",""
"passed","Tue Apr 18 16:11:21 ALMT 2023","Tue Apr 18 16:11:27 ALMT 2023","5971","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugMsgStartRetry","начать работу",""
"passed","Tue Apr 18 16:16:21 ALMT 2023","Tue Apr 18 16:16:35 ALMT 2023","13979","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureSenCostFinal","Сообщить окончательные условия реализации",""
"passed","Tue Apr 18 16:08:47 ALMT 2023","Tue Apr 18 16:08:54 ALMT 2023","7360","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","slaBugMsgProvidedTemporaryFixed","предоставить временное решение",""
"passed","Tue Apr 18 16:15:39 ALMT 2023","Tue Apr 18 16:16:02 ALMT 2023","22310","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureProvideReqInfoRetry","Сообщить уточненные требования",""
"passed","Tue Apr 18 16:16:51 ALMT 2023","Tue Apr 18 16:17:01 ALMT 2023","9619","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureRequestInfo","Запросить информацию",""
"passed","Tue Apr 18 16:14:50 ALMT 2023","Tue Apr 18 16:14:57 ALMT 2023","7563","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugMsgReturn","вернуть в работу",""
